Country;ID;Annual area of forest loss due to fire, km2;;;;;;;;;;;;;;;;;;;;% from total loss
;;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;total;
Rwanda;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0,3
Saint Helena;186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Saint Kitts and Nevis;187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
Saint Lucia;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
Saint Pierre and Miquelon;189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Saint Vincent and the Grenadines;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Saint-Barthelemy;191;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
Saint-Martin;192;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
Samoa;193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
San Marino;194;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Sao Tome and Principe;195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Saudi Arabia;196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Senegal;197;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0,1
Serbia;198;3;1;0;2;1;1;6;6;1;2;1;6;7;3;0;3;1;1;1;47;9
Seychelles;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
Sierra Leone;200;1;1;0;0;0;0;1;2;1;0;2;1;1;1;3;5;11;5;5;40;0,3
Singapore;201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Sint Maarten;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
Slovakia;203;2;1;1;2;8;1;1;5;1;5;3;2;0;2;0;2;1;1;0;38;2
Slovenia;204;0;1;1;1;1;0;2;1;0;0;0;2;0;1;0;0;0;0;0;11;2
Solomon Islands;205;1;1;1;1;2;2;2;2;1;2;2;5;4;10;11;16;15;12;10;99;6
Somalia;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,6
South Africa;207;30;27;38;30;35;99;40;35;52;78;48;55;211;158;386;188;566;201;360;2?638;14
South Georgia and the South Sandwich Islands;208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
South Korea;209;8;11;2;18;16;7;16;12;31;10;14;12;5;4;3;9;12;5;15;210;8
South Sudan;210;1;1;1;1;1;1;1;1;2;0;1;1;1;0;0;0;0;0;0;13;0,6
Spain;211;103;111;68;268;228;300;110;66;164;113;66;483;163;129;145;291;477;267;109;3?660;27
Spratly islands;212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Sri Lanka;213;1;1;1;2;1;1;2;1;4;1;2;3;2;2;1;4;1;3;2;36;2
Sudan;214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,8
Suriname;215;4;4;9;7;5;3;3;6;11;7;4;23;23;13;17;28;29;26;33;255;14
Svalbard and Jan Mayen;216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Swaziland;217;1;0;1;1;1;1;1;0;8;1;1;1;1;2;0;1;4;0;5;29;2
Sweden;218;39;26;19;51;38;66;32;119;33;70;30;82;19;110;16;25;40;48;57;919;2
Switzerland;219;0;0;0;3;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;9;3
Syria;220;1;0;0;0;5;2;13;6;0;2;0;48;11;7;16;14;14;5;8;151;64
Taiwan;221;0;1;0;1;1;1;1;1;9;2;1;1;0;0;0;1;0;0;0;20;5
Tajikistan;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;39
Tanzania;223;6;3;9;4;5;11;7;4;8;9;4;5;9;14;6;8;17;11;5;146;0,4
Thailand;224;5;6;7;12;8;13;16;10;14;16;10;17;4;4;4;14;8;2;5;175;0,8
Togo;225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,07
Tokelau;226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Tonga;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Trinidad and Tobago;228;1;0;1;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;0;9;4
Tunisia;229;1;1;3;0;1;1;3;3;3;1;13;8;11;22;18;15;90;7;2;203;65
Turkey;230;34;46;21;40;25;60;64;114;78;23;36;63;59;35;25;36;64;43;62;929;16
Turkmenistan;231;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;50
Turks and Caicos Islands;232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16
Tuvalu;233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
US Virgin Islands;234;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;7
Uganda;235;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0,04
Ukraine;236;22;24;56;35;16;33;36;45;62;33;36;41;10;11;31;208;40;36;39;814;8
United Arab Emirates;237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
United Kingdom;238;42;34;2;38;8;29;39;16;50;28;20;38;15;9;3;6;5;2;4;389;8
United States;239;3?683;6?685;4?281;9?540;9?384;9?047;6?744;4?846;2?740;6?124;2?961;4?042;4?556;3?019;10?272;6?990;6?675;6?596;7?391;115?575;27
United States Minor Outlying Islands;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Uruguay;241;4;3;3;7;10;6;7;7;8;3;5;12;7;8;2;5;11;7;2;114;3
Uzbekistan;242;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;41
Vanuatu;243;0;0;0;0;1;0;0;0;0;0;0;0;2;0;3;2;1;1;1;13;10
Vatican City;244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Venezuela;245;190;41;155;66;62;49;120;50;62;170;30;34;47;79;62;1?036;162;191;565;3?171;15
Vietnam;246;12;9;13;19;23;20;20;18;19;43;23;38;13;28;24;61;36;29;37;485;2
Wallis and Futuna;247;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Western Sahara;248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;no forest loss
Yemen;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
Zambia;250;1;2;1;1;8;6;0;2;3;2;0;3;16;13;36;81;7;4;20;205;0,7
Zimbabwe;251;1;1;1;2;1;2;2;1;7;1;1;2;3;2;3;7;7;1;3;47;0,8
